small region,bedroom,avg_price,total
 4364,-1,950000.0,1
 Agglomération de Montréal,-1,578521.052631579,19
 Ahuntsic,-1,618000.0,11
 Ahuntsic-Cartierville,-1,639000.0,1
 André-Grasset,-1,909950.0,2
 Anjou,-1,1090422.2222222222,9
 Arrondissement de Lachine,-1,589000.0,1
 Beaconsfield,-1,1846000.0,3
 Beaurivage,-1,649000.0,1
 Bellerive,-1,619497.0476190476,21
 Bois-Francs,-1,906519.0476190476,21
 Cartierville,-1,1107888.888888889,9
 Cecil-P.-Newman,-1,866466.0952380953,21
 Centre Domaine,-1,89000.0,2
 Centre-Nord,-1,2064666.6666666667,3
 Chameran,-1,662364.2857142857,14
 Chameran/Montpellier,-1,149666.66666666666,3
 Coop d'habitation Petite Patrie,-1,734000.0,2
 Crémazie,-1,984633.3333333334,3
 Côte-Saint-Antoine,-1,526250.0,6
 Côte-Saint-Luc,-1,909333.3333333334,3
 Côte-Saint-Paul,-1,675153.7692307692,13
 Côte-des-Neiges–Notre-Dame-de-Grâce,-1,664983.3333333334,6
 Desmarchais-Crawford,-1,1120000.0,7
 Dollard-Des-Ormeaux,-1,371600.0,5
 Dorval,-1,776608.3333333334,12
 Du Collège/Hodge,-1,1014111.1111111111,9
 Dupéré,-1,580250.0,4
 Dutrisac,-1,1636944.0,2
 François-Perrault,-1,939884.95,20
 Gabriel-Sagard,-1,820946.6666666666,15
 Grande-Prairie,-1,996365.2173913043,23
 Grenet,-1,1183500.0,4
 Griffintown,-1,810000.0,4
 Habitations Jeanne-Mance,-1,4033000.0,3
 Hampstead,-1,1229666.6666666667,3
 Hochelaga,-1,995000.0,1
 Jardins communautaires Saint-Sulpice,-1,787666.6666666666,3
 Kirkland,-1,29000.0,1
 L'Île-Bizard–Sainte-Geneviève,-1,597153.8461538461,39
 La Cité du Multimédia,-1,65000.0,1
 La Visitation,-1,589000.0,1
 LaSalle,-1,736225.0,4
 Lachine-Ouest,-1,1160500.0,8
 Longue-Pointe,-1,913533.2222222222,9
 Lorimier,-1,941142.8571428572,14
 Louis-Hébert,-1,545400.0,12
 Louis-Riel,-1,1207722.2222222222,9
 Loyola,-1,1178874.875,8
 Maisonneuve,-1,741750.0,4
 Marc-Aurèle-Fortin,-1,789055.5555555555,9
 Marie-Victorin,-1,1083235.7142857143,14
 Mile End,-1,1275460.0,15
 Milton Parc,-1,379000.0,3
 Mont-Royal,-1,1505666.6666666667,3
 Montagne,-1,927250.0,16
 Montreal-Nord-Centre,-1,615453.3333333334,15
 Montreal-Nord-Ouest,-1,494838.46153846156,13
 Montréal,-1,802841.1470588235,34
 Montréal-Est,-1,1268800.0,5
 Montréal-Nord,-1,495000.0,5
 Montréal-Nord-Est,-1,570425.8666666667,15
 Nicolas-Viel,-1,1534250.0,4
 Nouveau-Bordeau,-1,784000.0,2
 Outremont,-1,1749000.0,2
 Parc industriel d'Anjou,-1,1150000.0,1
 Parc-Extension,-1,668163.6363636364,11
 Parc-Jarry,-1,639765.3333333334,9
 Parc-Kent,-1,763500.0,6
 Parc-Lafontaine,-1,1611836.7894736843,19
 Parc-Laurier,-1,1071170.5882352942,17
 Petit Portugal,-1,987750.0,4
 Petite Italie,-1,918000.0,5
 Petite-Bourgogne,-1,1889000.0,4
 Pierrefonds-Est/Roxboro,-1,513123.2,5
 Pierrefonds-Ouest,-1,680725.8666666667,15
 Pierrefonds-Roxboro,-1,676800.0,5
 Plateau Mont-Royal,-1,1047000.0,6
 Plaza Saint-Hubert,-1,624791.6666666666,6
 Pointe-Claire,-1,385966.6666666667,3
 Pointe-Saint-Charles,-1,1178842.857142857,7
 Pointe-aux-Trembles,-1,468818.1818181818,11
 Port-Maurice,-1,697713.6363636364,22
 Port-Saint-Raphaël,-1,798816.5,6
 Prince-Arthur,-1,834450.0,2
 Promenade Fleury,-1,1079975.0,4
 Promenade Ontario,-1,739741.6666666666,12
 Promenade Sainte-Catherine Est,-1,404000.0,2
 Préfontaine,-1,1025000.0,4
 Père-Marquette,-1,554237.375,8
 Quartier Latin,-1,1804076.923076923,13
 Quartier international,-1,3663000.0,3
 René-Goupil,-1,618200.0,5
 René-Lévesque,-1,737197.76,50
 Rivière-des-Prairies,-1,600306.6,15
 Rivière-des-Prairies–Pointe-aux-Trembles,-1,1201705.2105263157,19
 Rosemont–La Petite-Patrie,-1,1395925.0,4
 Rue Gauthier,-1,429000.0,1
 Saint-Esprit,-1,299000.0,1
 Saint-Henri,-1,1272333.3333333333,6
 Saint-Laurent,-1,734500.0,6
 Saint-Louis,-1,1252641.5833333333,12
 Saint-Léonard,-1,1789000.0,2
 Saint-Michel,-1,647784.2105263158,19
 Saint-Simon,-1,890000.0,6
 Saint-Sulpice,-1,1189000.0,1
 Saint-Édouard,-1,831607.1428571428,14
 Sainte-Anne-de-Bellevue,-1,688793.75,8
 Sainte-Lucie,-1,499100.0,5
 Sainte-Marie,-1,885702.1463414634,41
 Saraguay,-1,1674500.0,2
 Sault-Saint-Louis,-1,722613.8095238095,21
 Sault-au-Récollet,-1,3649000.0,1
 Sault-aux-Récollets,-1,627625.0,16
 Savane,-1,586140.0,10
 Snowdon,-1,464871.63636363635,11
 Tétraultville,-1,636092.3076923077,13
 Tétreaultville,-1,549000.0,1
 Upper Lachine,-1,1811818.1818181819,11
 Vaudreuil-Soulanges,-1,1975000.0,1
 Verdun,-1,892390.0,10
 Verdun-Centre,-1,1127153.8461538462,13
 Vieux-Lachine,-1,694068.0,25
 Vieux-Montréal,-1,1470375.0,8
 Vieux-Rosemont,-1,758055.5555555555,18
 Village de Pointe-Claire,-1,560000.0,4
 Ville-Marie,-1,819500.0,4
 Ville-Émard,-1,607100.0,9
 Villeray,-1,810140.0,20
 Villeray–Saint-Michel–Parc-Extension,-1,679450.0,2
 Westmount,-1,2333000.0,5
 Édouard-Montpetit,-1,3598333.3333333335,3
 Étienne-Desmarteau,-1,818800.0,5
 Île-des-Sœurs,-1,602333.3333333334,3
1273a,-1,4500000.0,1
1825,-1,1299000.0,1
2225a,-1,829000.0,1
2316,-1,495000.0,1
4396,-1,879000.0,1
4592,-1,765000.0,1
